Country,City,Latitude,Longitude,index_x,Temperature,Humidity,Cloudiness,Wind Speed (mph)
tr,karacakoy,41.402864,28.383381,40622.0,76.15,78.0,75.0,1100.4
ro,stancuta,44.9,27.833333,34332.0,75.2,60.0,40.0,201.6
us,andover,45.2333333,-93.2911111,44132.0,72.16,83.0,1.0,483.00000000000006
ro,agas,46.483333,26.216667,32077.0,66.34,93.0,75.0,134.4
cz,pohorelice,48.983333,16.516667,8208.0,62.74,88.0,20.0,134.4
de,vohringen,48.283333,10.083333,9779.0,60.37,77.0,20.0,24.0
ua,murovani kurylivtsi,48.723477,27.518919,41508.0,69.24,72.0,100.0,559.8
hu,sajokaza,48.283333,20.583333,15955.0,62.17,88.0,75.0,349.20000000000005
at,seekirchen,47.9,13.133333,730.0,57.58,93.0,75.0,617.4
us,escanaba,45.7452778,-87.0644444,44046.0,72.99,94.0,1.0,282.0
it,sondrio,46.166667,9.866667,21010.0,66.74,64.0,30.0,67.2
hu,battonya,46.283333,21.016667,15406.0,62.82,100.0,75.0,282.0
hu,tolna,46.426765,18.782476,16105.0,66.2,77.0,75.0,134.4
hu,bony,47.65,17.869772,15438.0,62.53,88.0,75.0,349.20000000000005
fr,orly,48.747921,2.392525,11899.0,62.87,63.0,74.0,201.6
ua,lysyanka,49.25229,30.829463,41462.0,69.15,71.0,87.0,403.8
ca,sainte-julienne,45.966667,-73.716667,4939.0,75.18,88.0,90.0,201.6
sk,kosice,48.7166667,21.25,39644.0,62.78,88.0,75.0,349.20000000000005
ro,darjiu,46.2,25.2,32873.0,64.06,93.0,40.0,134.4
ro,rodna,47.416667,24.816667,34032.0,55.99,90.0,100.0,245.39999999999998
ro,danesti,46.516667,25.75,32866.0,68.56,67.0,100.0,240.0
ro,beltiug,47.55,22.85,32292.0,64.78,93.0,100.0,483.00000000000006
cn,taikang,46.833333,124.416667,6348.0,80.64,48.0,91.0,1115.4
hu,mohacs,45.993056,18.683056,15803.0,63.32,77.0,75.0,134.4
ua,gornyak,48.055696,37.373087,41285.0,71.15,57.0,3.0,637.8000000000001
cz,bor,49.713098,12.776297,7841.0,62.64,93.0,90.0,201.6
it,somma lombardo,45.683333,8.7,21007.0,69.6,56.0,38.0,201.6
ro,veresti,47.6,26.433333,34694.0,66.61,68.0,20.0,349.20000000000005
jp,makubetsu,45.371389,141.821111,21548.0,69.8,88.0,20.0,550.2
gb,birkenhead,53.4,-3.033333,12310.0,54.03,82.0,20.0,415.79999999999995
nl,zoetermeer,52.027803,4.512315,25750.0,62.37,93.0,97.0,483.00000000000006
nl,wateringen,52.023061,4.274782,25727.0,62.19,88.0,99.0,832.1999999999999
cz,mezimesti,50.626582,16.242148,8109.0,63.27,88.0,95.0,67.2
de,hille,52.333333,8.75,9025.0,67.03,52.0,75.0,550.2
ru,sosnovskiy,54.601011,73.165209,38278.0,86.0,30.0,40.0,134.4
cz,novy bydzov,50.2411,15.491409,8163.0,64.4,88.0,87.0,201.6
de,salzwedel,52.85,11.15,9571.0,68.23,68.0,75.0,282.0
gb,leighton buzzard,51.916667,-0.65,12708.0,55.72,93.0,75.0,684.6
by,malaryta,51.7833333,24.0833333,4386.0,69.8,64.0,77.0,402.6
be,kortrijk,50.833333,3.266667,1598.0,56.93,93.0,90.0,550.2
de,bockenem,52.016667,10.133333,8612.0,64.22,64.0,100.0,349.20000000000005
be,andenne,50.483333,5.1,1358.0,61.79,77.0,42.0,349.20000000000005
pl,pszow,50.03783,18.401537,31294.0,64.13,93.0,90.0,349.20000000000005
ru,zilair,52.2332,57.4392,39274.0,84.83,45.0,24.0,289.8
ru,mullovka,54.2,49.4,37111.0,73.4,64.0,20.0,670.8
ru,selenginsk,52.006389,106.864722,38020.0,66.2,37.0,75.0,1074.0
de,willich,51.266667,6.55,9863.0,65.7,82.0,57.0,201.6
ru,zhadovka,53.574644,46.949846,39245.0,60.4,91.0,92.0,632.4
cz,cesky brod,50.07358,14.858163,7884.0,64.22,93.0,40.0,282.0
ru,ekimchan,53.066667,132.966667,35799.0,90.05,29.0,23.0,132.6
pl,lancut,50.06819,22.228955,31174.0,63.61,93.0,99.0,134.4
de,hemer,51.383333,7.766667,8993.0,66.31,68.0,87.0,201.6
gb,buxton,53.25,-1.916667,12367.0,52.63,93.0,72.0,134.4
ru,aleksandrovskiy zavod,50.9237,117.9374,35115.0,61.86,85.0,89.0,283.2
fr,carvin,50.492985,2.96826,11477.0,57.52,93.0,90.0,550.2
ru,nizhniy mamon,50.1937,40.5083,37249.0,69.94,64.0,0.0,292.8
ru,izumrud,56.9701,61.4597,36084.0,89.6,43.0,20.0,537.0
gb,portknockie,57.683333,-2.85,12863.0,52.2,76.0,40.0,550.2
dk,billund,55.731157,9.113309,9930.0,63.3,88.0,100.0,282.0
lv,talsi,57.25,22.6,22670.0,71.6,64.0,94.0,67.2
ee,kaerepere,58.9655556,24.8436111,10437.0,67.44,68.0,72.0,134.4
gb,dufftown,57.433333,-3.133333,12481.0,52.54,76.0,40.0,550.2
ru,pirogovo,56.779589,53.149543,37655.0,66.0,88.0,95.0,240.0
gb,nairn,57.5,-3.833333,12790.0,52.9,76.0,40.0,684.6
gb,kirkconnel,55.383333,-4.0,12684.0,52.09,71.0,40.0,765.0
lv,rezekne,56.5,27.3166667,22654.0,67.69,67.0,100.0,165.0
ru,kolomna,55.079444,38.778333,36419.0,67.12,64.0,18.0,402.6
ru,batetskiy,58.646101,30.302677,35306.0,67.06,76.0,100.0,117.0
ru,pizhma,57.864183,47.117138,37663.0,67.21,85.0,100.0,369.0
ie,buncrana,55.1333333,-7.45,16606.0,52.02,80.0,67.0,606.5999999999999
ru,burevestnik,56.144029,43.788324,35531.0,62.56,93.0,90.0,268.2
ru,kytlym,59.500494,59.201595,36749.0,76.57,48.0,68.0,243.0
no,karlshus,59.35,10.866667,25901.0,60.44,93.0,100.0,765.0
ru,klyuchevsk,57.1216,60.9414,36392.0,89.6,43.0,20.0,537.0
se,kristianstad,56.033333,14.133333,39434.0,62.71,93.0,100.0,67.2
ee,haademeeste,58.0813889,24.5102778,10420.0,67.23,63.0,99.0,135.6
ru,yekaterinburg,56.8519,60.6122,39092.0,89.6,43.0,20.0,537.0
se,kinna,57.5,12.683333,39431.0,62.38,87.0,40.0,349.20000000000005
ru,poletayevo,55.0336,61.1138,37713.0,89.6,38.0,40.0,402.6
gb,inverness,57.466667,-4.233333,12641.0,53.02,76.0,40.0,684.6
ru,kochevo,59.599396,54.312481,36400.0,74.12,56.0,70.0,534.0
ru,vorsma,55.990622,43.272485,38985.0,62.6,93.0,90.0,268.2
ru,mendeleyevsk,55.908185,52.290472,37006.0,66.2,82.0,40.0,805.2
fi,ilmajoki,62.733333,22.566667,11229.0,70.36,64.0,19.0,415.79999999999995
ru,mikun,62.199384,49.942766,37036.0,71.53,52.0,0.0,331.8
ru,yerbogachen,61.276667,108.010833,39122.0,62.29,56.0,59.0,222.6
ru,zheleznodorozhnyy,62.589988,50.859388,39253.0,72.03,52.0,0.0,326.40000000000003
ru,mezhdurechensk,63.245556,48.553333,37016.0,69.26,49.0,0.0,283.2
fi,lapua,62.95,23.0,11259.0,70.38,64.0,13.0,415.79999999999995
no,dale,61.233333,6.1,25811.0,52.88,67.0,64.0,1033.1999999999998
fi,kerava,60.4,25.116667,11245.0,66.97,72.0,100.0,201.6
ru,kholodnyy,62.716667,147.95,36302.0,67.03,32.0,99.0,103.2
fi,rauma,61.133333,21.5,11288.0,69.8,73.0,23.0,349.20000000000005
fi,laukaa,62.416667,25.95,11260.0,68.79,64.0,75.0,282.0
no,kroderen,60.15,9.816667,25924.0,58.55,87.0,100.0,359.40000000000003
fo,vestmanna,62.15,-7.1666667,11328.0,48.2,87.0,79.0,832.1999999999999
no,nordfjordeid,61.9,6.0,25986.0,56.59,51.0,75.0,483.00000000000006
ru,usogorsk,63.410636,48.687225,38754.0,69.76,49.0,0.0,272.4
fi,valkeakoski,61.266667,24.033333,11305.0,68.02,72.0,65.0,349.20000000000005
fo,tvoroyri,61.55,-6.8,11326.0,48.2,87.0,47.0,832.1999999999999
fo,sandur,61.8333333,-6.8,11320.0,48.2,87.0,59.0,832.1999999999999
ru,zelenoborsk,61.466944,64.033333,39231.0,77.58,41.0,4.0,525.0
ru,mokhsogollokh,61.468056,128.920278,37066.0,75.2,54.0,99.0,244.20000000000002
fi,kirkkonummi,60.116667,24.433333,11247.0,66.79,72.0,98.0,201.6
se,sundsvall,62.383333,17.3,39480.0,66.07,72.0,94.0,349.20000000000005
no,eina,60.633333,10.6,25821.0,57.29,100.0,75.0,899.4
ru,zarya,60.0077,48.029571,39201.0,69.49,67.0,89.0,440.4
ru,yugorsk,61.313333,63.331944,39141.0,77.22,40.0,4.0,505.79999999999995
